0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,NaN
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN
0,0,0,0,1,0,0,3,0,2,0,0,0,0,2,0,NaN
0,0,0,1,0,1,2,2,0,2,0,0,0,1,1,0,NaN
0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,NaN
0,0,0,0,0,2,0,1,5,0,1,1,1,0,0,0,NaN
0,0,0,0,0,1,1,0,2,2,0,2,0,0,0,0,NaN
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,3,0,0,1,1,1,1,1,2,0,0,NaN
0,0,0,1,0,4,1,2,4,0,1,0,0,0,0,0,NaN
0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,NaN
0,0,0,0,0,1,1,0,1,2,0,0,0,2,1,0,NaN
0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,NaN
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NaN
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,1,2,0,2,1,1,1,0,1,0,0,NaN
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,1,1,3,5,4,0,0,0,0,0,0,NaN
0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,NaN
0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
0,0,1,0,1,0,0,2,0,1,0,0,1,1,0,0,NaN
0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,NaN
0,0,0,0,0,2,0,0,6,0,0,0,0,0,1,1,NaN
0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,3,0,1,0,2,0,1,0,0,0,0,NaN
0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,NaN
0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,NaN
0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,NaN
0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,NaN
0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,NaN
0,0,0,0,1,1,1,0,0,2,0,0,0,0,1,0,NaN
0,0,0,1,0,4,0,0,0,4,2,0,0,0,0,1,NaN
0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,NaN
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NaN
0,0,0,0,1,0,2,4,0,1,0,0,0,0,0,0,NaN
0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,NaN
0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,NaN
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NaN
0,0,0,0,1,1,1,3,2,0,0,0,0,0,0,1,NaN
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,NaN
